comparison,parent_name,child_name,no_new_information,mae_parent_clean,mae_child_clean,dMAE_observed,dMAE_boot_mean,ci_lo,ci_hi,p_le_zero,t_stat,t_p,fold_dmae_0,fold_dmae_1,fold_dmae_2,fold_dmae_3,fold_dmae_4,verdict,pre_audit_mae_parent,pre_audit_mae_child
01b->02b,baseline_v2,dti_pred_oof,False,2.9879599384347286,2.989893466331044,-0.0019335278963152902,-0.001975164156892809,-0.009678034149236714,0.005604931091809338,0.6885,-1.6127842222203217,0.18208702258389417,-0.006184293601257718,-0.0017148009227345717,0.0005975189171834039,1.1849227589788569e-05,-0.0023304773525789635,overturned,,
02b->03b,dti_pred_oof,dti_voxel_ridge,False,2.989893466331044,2.9786136568965738,0.011279809434470156,0.011166088002307055,-0.029229651560491173,0.05323863995585602,0.2954,0.5840920786095959,0.5905121231762804,0.056840362492668106,-0.02588756127852898,0.059572887611926806,-0.013171062026242186,-0.021054322949177084,overturned,,
03b->04b,dti_voxel_ridge,eeg_psd_raw,False,2.9786136568965738,2.9734378187913393,0.005175838105234476,0.005323809192955989,-0.029563532160071113,0.04052415093925454,0.3845,0.3474369596010992,0.7457742548981839,0.005589448075307146,-0.05030784415288414,0.03827156511389429,0.02729931092666993,0.005674593766572311,overturned,,
04b->05b,eeg_psd_raw,drop_fa_cortical_sensitivity,False,2.9734378187913393,2.9717461085068164,0.0016917102845228627,0.001673485523466016,-0.011748959825368444,0.014858216377828724,0.4055,0.21109640644887098,0.8431305194577107,0.022417801345631982,0.013770469908523708,-0.0039225025891402865,-0.0025380711141158585,-0.021655085548109465,overturned,,
