comparison,parent_name,child_name,no_new_information,mae_parent_clean,mae_child_clean,dMAE_observed,dMAE_boot_mean,ci_lo,ci_hi,p_le_zero,t_stat,t_p,fold_dmae_0,fold_dmae_1,fold_dmae_2,fold_dmae_3,fold_dmae_4,verdict,pre_audit_mae_parent,pre_audit_mae_child
01b->02b,baseline_v2,dti_pred_oof,False,2.9845263661354013,2.9887622143156736,-0.004235848180272228,-0.0042722078032150735,-0.012559788664951653,0.003962748388440382,0.8397,-3.178291542923605,0.03359006226061534,-0.007903606201430158,-0.0032199131863976937,-0.0015622919274580482,-0.001605548090280351,-0.006856683577830758,overturned,,
02b->03b,dti_pred_oof,dti_voxel_ridge,False,2.9887622143156736,2.975822605354894,0.012939608960779392,0.012789741964839665,-0.02603347589477679,0.05251908592099286,0.2567,0.6986527364312111,0.5232574794621989,0.05954973410750686,-0.019891751804995028,0.056561245192528364,-0.01867910691928687,-0.013004178882218831,overturned,,
03b->04b,dti_voxel_ridge,eeg_psd_raw,False,2.975822605354894,2.9692825968922847,0.006540008462609492,0.006711905101838835,-0.028040015175272815,0.04192561737935216,0.3557,0.4333194761592167,0.6871267012423128,0.006962523280712674,-0.04982401411822979,0.038105884040612104,0.030333989681160745,0.0077797948142386275,overturned,,
04b->05b,eeg_psd_raw,drop_fa_cortical_sensitivity,False,2.9692825968922847,2.9678883768452224,0.0013942200470622446,0.0013675895388477245,-0.012875008773901542,0.015139886400574008,0.4258,0.1695362647845154,0.8736034918756125,0.02139328210138247,0.014857481205397427,-0.003513654807890898,-0.0035965890221003605,-0.022563093632217868,overturned,,
